arrival,9.385361799537183
served by fast,9.385361799537183
leave fast,11.709637863876452
arrival,69.5877904178876
served by fast,69.5877904178876
arrival,95.9227042887966
served by fast,95.9227042887966
arrival,114.18155536431566
served by slow,114.18155536431566
arrival,117.57405277356258
served by slow,117.57405277356258
leave slow,118.07242060739678
arrival,120.9659786118547
served by slow,120.9659786118547
arrival,122.16275398402831
waiting for fast,122.16275398402831
leave slow,134.1201050098454
leave fast,140.30721757604192
move cust. from queue to fast server,140.30721757604192
arrival,162.3873712736271
waiting for fast,162.3873712736271
leave fast,177.12009479765325
move cust. from queue to fast server,177.12009479765325
arrival,180.7690143461724
waiting for fast,180.7690143461724
leave fast,199.6121806055072
move cust. from queue to fast server,199.6121806055072
arrival,205.3940155802642
served by slow,205.3940155802642
arrival,205.81000174024697
waiting for fast,205.81000174024697
leave slow,212.3176494765059
leave fast,216.28998206129322
move cust. from queue to fast server,216.28998206129322
leave fast,229.6067622337802
leave fast,243.86861638681262
leave slow,273.056688585606
arrival,275.8811512434132
served by fast,275.8811512434132
leave fast,279.5756543815467
arrival,311.6097421105067
served by fast,311.6097421105067
arrival,316.38349461548563
served by fast,316.38349461548563
arrival,320.3970743904789
waiting for fast,320.3970743904789
arrival,324.44930284712405
served by slow,324.44930284712405
leave slow,330.3594287695545
arrival,331.7043774363336
served by slow,331.7043774363336
leave fast,345.67253036685685
move cust. from queue to fast server,345.67253036685685
arrival,346.5829340535507
waiting for fast,346.5829340535507
leave fast,357.72709440439587
move cust. from queue to fast server,357.72709440439587
arrival,357.8936753891574
waiting for fast,357.8936753891574
arrival,364.7781352402362
waiting for fast,364.7781352402362
arrivals completed - 20,364.7781352402362
leave slow,365.22832897326543
leave fast,369.5265207999198
move cust. from queue to fast server,369.5265207999198
leave fast,371.2656292602534
move cust. from queue to fast server,371.2656292602534
leave fast,401.712310028034
leave fast,408.762794318652
Finished - Success,1
